,Question,Answer
1206,Can I subscribe to the Platinum Plans while on Flex bundle or karibu PostPay 1000 / 2500?,"
Platinum Plans cannot be used for premium rate services.

"
1207,I bought Platinum Plans but have previous data from *544# what will be the order of priority for usage?,"
Customers on Flex plans, Karibu PostPay will be required to finish their resources or wait until their bundle expires before subscribing to Platinum Plans.

"
1208,Can I sambaza my Platinum Plan Bundles?,"

Free Resources (Stori Ibambe bonus, free minutes, free data)
Limited data bundles(i.e. daily, weekly and monthly data bundles)
Advantage plans
Safaricom Platinum Plans
Bonga redemption for SMS, data, minutes and airtime.
Main account(Regular airtime for Prepay customers and available PostPay limit for PostPay customers)
"
1209,Will I accumulate Bonga points on purchase of Platinum Plans?,"
You cannot transfer (Sambaza) Safaricom Platinum Plan bundles to other subscribers

"
1210,What happens to my resources when my number is disconnected due to lack of bill payment?,"
You will accumulate Bonga Points on purchase of the Safaricom Platinum Plans The table below shows how much you will accumulate after purchasing the plan:

"
1211,What is advantage plus?,"
Advantage Plus is a value proposition from Safaricom that enables consumers on the path to success live an uninterrupted life by offering convenience, exceptional value, prestige and differentiated service benefits. Advantage Plus offers Safaricom PrePay and PostPay customers bundle plans geared to provide them with additional value of up to 85% plus the convenience that comes with having an integrated Voice, SMS and Data bundle.

"
1212,What are the advantages of the Advantage Plus plans?,"
You don’t have to worry about topping up every now and then as a PrePay customer You have a clear understanding of your charges Customers who subscribe to the Advantage Plus PostPay bundles will have access to line 200 You can control your budgets by having a fixed amount to spend on your mobile phone usage expenses You get an itemized bill at the end of the month when you sign onto Advantage Plus PostPay.

"
1213,How do I subscribe to an Advantage Plus plan?,"
a.) To purchase a PrePay plan For existing Safaricom PrePay Customers: Dial *100# and select “Advantage Plus” Select your preferred Advantage Plus Plan Select the PrePay option Select your preferred payment option i.e. Airtime or M-PESA To pay via M-PESA, enter your service PIN and confirm. For airtime options, the airtime will automatically be deducted from your main account You will then receive a notification on successful subscription to your preferred Advantage Plus PrePay Plan  b.) To purchase a PostPay plan For existing Safaricom PostPay Customers: Dial *200# and select the “Advantage Plus” option Select your plan of choice Accept the Terms and Conditions of service Submit the request You will then receive a notification on successful subscription to your preferred Advantage Plus Plan N:B. Your credit limit needs to be sufficient to cover for the cost of the bundle For Existing Safaricom PrePay Customers joining Advantage Plus PostPay Dial *100# and select your preferred Advantage Plus Plan Enter your National ID / Passport number Enter your email address (where your new PostPay bill will be sent) Confirm subscription and 1 month prepayment Accept the Terms and Conditions Pay the prepayment and 1st month’s usage via M-PESA Submit the request You will then receive a notification on successful subscription to your preferred Advantage Plus Plan and you will be migrated to the PostPay Hybrid tariff. New Customers (joining from other networks). Please visit your nearest Safaricom Shop to sign up. An original identification document such as a National ID or Passport

"
1214,What is the validity period of each Advantage Plus plan?,"
Because of the exceptional value being provided by the Advantage Plus value proposition and the fact that consumers have three options to pick a package that suit their needs, this package will be valid for 30 days from the subscription date after which they will be expired. Unutilized resources will NOT be rolled over after the expiry date.

"
1215,What happens when I exhaust my advantage plus resources?,"
If you were previously on PrePay, you will be able to top up your line with airtime. If you were on an existing PostPay tariff before subscribing to the Advantage Plus Plan, then you can continue to use your credit up to your limit. Normal calling, SMS and Internet rates will apply. This will apply to the awarded resources separately e.g. when voice minutes are depleted but the subscriber still has SMS resources; voice will be charged out-of-bundle and the SMS in-bundle.

"
1216,Can I upgrade my bundle to a higher bundle?,"
YES. You can upgrade and downgrade your bundles based on what you qualify for. PostPay Hybrid customers (i.e. customers who were previously on PrePay) will need to visit any Safaricom Shop to upgrade their bundle plus top up their deposit to the value of the new bundle. Advantage PostPay customers will be able to upgrade or downgrade via *200#. Their credit limit needs to be sufficient to cover the additional cost

"
1217,Can I subscribe to the Advantage Plus plans if I am on the Karibu Postpay bundles?,"
YES. You can subscribe to the Advantage Plus Plan if you are on the existing Karibu PostPay 1050 or Karibu PostPay 2,700 bundles. Your existing resources will be moved to the new Plan and the prevailing expiry dates will apply. However, once you exit the Karibu PostPay Bundles you will not be allowed to move back.

"
1218,Can I have multiple bundles running at the same time if i am on advantage plus postpay?,"
NO. Multiple bundle subscriptions will not be allowed. You will have to unsubscribe from your existing bundle to subscribe to a new one.

"
1219,"What happens when my bundle resources i.e. minutes, SMS, internet MBs expire?","
The bundles will not be available for use once they have expired. They will be deleted from the subscriber’s account upon expiry.

"
1220,Will I get a notification before I fully utilise my resources?,"
YES. You will get notifications before you exhaust your bundle minutes, SMS and internet resources

"
1221,Can I transfer / sambaza bundles?,"
NO. The bundles are not transferable to other subscribers.

"
1222,Will I accumulate bonga points when i subscribe to the bundles?,"
YES. You will get Bonga Points upon subscription and renewal of the bundles as per the current Bonga Points accumulation rules.

"
1223,Can I get additional services such as roaming and international calling whilst on the Advantage Plus plans?,"
YES, you can get additional products and services as per existing product rules. However, you will need to top up your PrePay line with airtime or increase the credit limit of your PostPay line to access these services.

"
1224,What Advantage Plus plans are currently available?,"
Simply dial *100# on your PrePay line or *200# on your PostPay line and select your preferred Advantage Plus Plan under advantage plus option.

"
1225,What is Reverse Call?,"
Reverse Call is a service that allows a customer to make a call with or without airtime and the receiver of the call pays on the caller’s behalf.

"
1226,Who is eligible to make a Reverse Call?,"
All Safaricom subscribers are eligible.

"
